calories,carbs,category,fat,name,restaurant
0,0,drinks,0,A&W® Diet Root Beer,A&W Restaurants
0,0,drinks,0,A&W® Diet Root Beer,A&W Restaurants
0,0,drinks,0,A&W® Diet Root Beer,A&W Restaurants
0,0,drinks,0,A&W® Diet Root Beer,A&W Restaurants
0,0,drinks,0,A&W® Diet Root Beer,A&W Restaurants
0,0,drinks,0,A&W® Diet Root Beer,A&W Restaurants
350,60,shakes,10,A&W® Diet Root Beer Float (large),A&W Restaurants
170,30,shakes,5,A&W® Diet Root Beer Float (medium),A&W Restaurants
170,30,shakes,5,A&W® Diet Root Beer Float (small),A&W Restaurants
600,92,shakes,18,A&W® Diet Root Beer Freeze (large),A&W Restaurants
340,53,shakes,10,A&W® Diet Root Beer Freeze (medium),A&W Restaurants
260,39,shakes,8,A&W® Diet Root Beer Freeze (small),A&W Restaurants
160,43,drinks,0,A&W® Root Beer,A&W Restaurants
220,58,drinks,0,A&W® Root Beer,A&W Restaurants
270,72,drinks,0,A&W® Root Beer,A&W Restaurants
440,116,drinks,0,A&W® Root Beer,A&W Restaurants
880,232,drinks,0,A&W® Root Beer,A&W Restaurants
1760,464,drinks,0,A&W® Root Beer,A&W Restaurants
640,136,shakes,10,A&W® Root Beer Float (large),A&W Restaurants
350,77,shakes,5,A&W® Root Beer Float (medium),A&W Restaurants
330,70,shakes,5,A&W® Root Beer Float (small),A&W Restaurants
820,150,shakes,18,A&W® Root Beer Freeze (large),A&W Restaurants
480,89,shakes,10,A&W® Root Beer Freeze (medium),A&W Restaurants
370,68,shakes,8,A&W® Root Beer Freeze (small),A&W Restaurants
270,67,drinks,0,Blue Raspberry Slushee,A&W Restaurants
370,91,drinks,0,Blue Raspberry Slushee,A&W Restaurants
570,142,drinks,0,Blue Raspberry Slushee,A&W Restaurants
740,182,drinks,0,Blue Raspberry Slushee,A&W Restaurants
480,62,sides,27,Breaded Onion Rings (Large),A&W Restaurants
350,45,sides,16,Breaded Onion Rings (Regular),A&W Restaurants
340,57,desserts,9,Caramel Sundae,A&W Restaurants
1140,54,sides,80,Cheese Curds (Large),A&W Restaurants
570,27,sides,40,Cheese Curds (Regular),A&W Restaurants
350,26,entrees,22,Cheese Dog,A&W Restaurants
390,50,french-fries,18,Cheese Fries,A&W Restaurants
420,37,burgers,21,Cheeseburger,A&W Restaurants
190,51,drinks,0,Cherry Limeade,A&W Restaurants
300,79,drinks,0,Cherry Limeade,A&W Restaurants
340,90,drinks,0,Cherry Limeade,A&W Restaurants
530,138,drinks,0,Cherry Limeade,A&W Restaurants
330,83,drinks,0,Cherry Slushee,A&W Restaurants
450,112,drinks,0,Cherry Slushee,A&W Restaurants
570,141,drinks,0,Cherry Slushee,A&W Restaurants
900,224,drinks,0,Cherry Slushee,A&W Restaurants
500,32,chicken,29,Chicken Strips- 3 pieces,A&W Restaurants
190,22,sides,6,Chili,A&W Restaurants
410,52,french-fries,17,Chili Cheese Fries,A&W Restaurants
370,49,french-fries,15,Chili Fries,A&W Restaurants
490,68,desserts,30,Chocolate Fudge Blendrrr,A&W Restaurants
560,92,desserts,32,Chocolate Fudge Blendrrr,A&W Restaurants
1010,152,desserts,59,Chocolate Fudge Blendrrr,A&W Restaurants
880,125,shakes,36,Chocolate Milkshake (medium),A&W Restaurants
700,100,shakes,29,Chocolate Milkshake (small),A&W Restaurants
320,53,desserts,8,Chocolate Sundae,A&W Restaurants
380,28,entrees,23,Coney (Chili) Cheese Dog,A&W Restaurants
340,26,entrees,20,Coney (Chili) Dog,A&W Restaurants
280,32,sides,13,Corn Dog Nuggets® (Regular),A&W Restaurants
180,20,sides,8,Corn Dog Nuggets® (Small/ Kids),A&W Restaurants
550,52,chicken,25,Crispy Chicken Sandwich,A&W Restaurants
340,34,seafood,19,Crunchy Shrimp,A&W Restaurants
170,2,sides,12,Extra Burger Patty,A&W Restaurants
430,61,french-fries,17,French Fries (Large),A&W Restaurants
310,45,french-fries,12,French Fries (Regular),A&W Restaurants
200,28,french-fries,8,French Fries (Small/ Kids),A&W Restaurants
400,31,chicken,15,Grilled Chicken Sandwich,A&W Restaurants
380,33,burgers,19,Hamburger,A&W Restaurants
310,23,entrees,19,Hot Dog (plain),A&W Restaurants
350,54,desserts,11,Hot Fudge Sundae,A&W Restaurants
330,82,drinks,0,Lemon Slushee,A&W Restaurants
440,110,drinks,0,Lemon Slushee,A&W Restaurants
560,139,drinks,0,Lemon Slushee,A&W Restaurants
890,221,drinks,0,Lemon Slushee,A&W Restaurants
280,69,drinks,0,Lime Slushee,A&W Restaurants
380,94,drinks,0,Lime Slushee,A&W Restaurants
480,119,drinks,0,Lime Slushee,A&W Restaurants
770,188,drinks,0,Lime Slushee,A&W Restaurants
140,38,drinks,0,Limeade,A&W Restaurants
210,55,drinks,0,Limeade,A&W Restaurants
250,66,drinks,0,Limeade,A&W Restaurants
390,103,drinks,0,Limeade,A&W Restaurants
710,107,desserts,25,M&M’s® Polar Swirl®,A&W Restaurants
610,137,shakes,9,Orange Float (large),A&W Restaurants
340,81,shakes,4.5,Orange Float (medium),A&W Restaurants
320,74,shakes,4.5,Orange Float (small),A&W Restaurants
600,142,shakes,10,Orange Freeze (medium),A&W Restaurants
970,223,shakes,18,Orange Freeze (medium),A&W Restaurants
450,108,shakes,8,Orange Freeze (small),A&W Restaurants
340,56,desserts,12,Oreo® Cookies & Cream Blendrrr,A&W Restaurants
430,72,desserts,15,Oreo® Cookies & Cream Blendrrr,A&W Restaurants
650,109,desserts,21,Oreo® Cookies & Cream Blendrrr,A&W Restaurants
690,107,desserts,24,Oreo® Polar Swirl®,A&W Restaurants
530,39,burgers,30,Original Bacon Cheeseburger,A&W Restaurants
760,45,burgers,45,Original Bacon Double Cheeseburger,A&W Restaurants
680,44,burgers,38,Original Double Cheeseburger,A&W Restaurants
690,44,burgers,39,Papa Burger®,A&W Restaurants
470,38,burgers,25,Papa Single Burger,A&W Restaurants
400,85,shakes,6,Pineapple Banana Smoothee,A&W Restaurants
480,104,shakes,6,Pineapple Banana Smoothee,A&W Restaurants
750,160,shakes,10,Pineapple Banana Smoothee,A&W Restaurants
700,103,desserts,41,Reese’s® Peanut Butter Fudge Blendrrr,A&W Restaurants
710,108,desserts,41,Reese’s® Peanut Butter Fudge Blendrrr,A&W Restaurants
1360,203,desserts,79,Reese’s® Peanut Butter Fudge Blendrrr,A&W Restaurants
740,97,desserts,31,Reese’s® Polar Swirl®,A&W Restaurants
390,78,shakes,6,Strawberry Banana Smoothee,A&W Restaurants
420,86,shakes,6,Strawberry Banana Smoothee,A&W Restaurants
680,137,shakes,10,Strawberry Banana Smoothee,A&W Restaurants
230,58,drinks,0,Strawberry Limeade,A&W Restaurants
290,75,drinks,0,Strawberry Limeade,A&W Restaurants
420,105,drinks,0,Strawberry Limeade,A&W Restaurants
560,143,drinks,0,Strawberry Limeade,A&W Restaurants
840,113,shakes,36,Strawberry Milkshake (medium),A&W Restaurants
670,90,shakes,29,Strawberry Milkshake (small),A&W Restaurants
360,70,shakes,6,Strawberry Smoothee,A&W Restaurants
370,74,shakes,6,Strawberry Smoothee,A&W Restaurants
610,121,shakes,10,Strawberry Smoothee,A&W Restaurants
300,47,desserts,8,Strawberry Sundae,A&W Restaurants
260,41,desserts,7,Vanilla Cone (large),A&W Restaurants
200,32,desserts,5,Vanilla Cone (regular),A&W Restaurants
900,121,shakes,39,Vanilla Milkshake (medium,A&W Restaurants
720,97,shakes,31,Vanilla Milkshake (small),A&W Restaurants
270,73,drinks,0,Watermelon Slushee,A&W Restaurants
360,99,drinks,0,Watermelon Slushee,A&W Restaurants
460,124,drinks,0,Watermelon Slushee,A&W Restaurants
720,197,drinks,0,Watermelon Slushee,A&W Restaurants
390,35,sides,21,Add Fried Shrimp,Applebee's
230,2,sides,17,Add Grilled Shrimp,Applebee's
2375,169,appetizers,162,Appetizer Sampler,Applebee's
630,33,salads,43,"Apple Walnut Chicken Salad, Half",Applebee's
350,15,salads,20,"Apple Walnut Chicken Salad, Half w/o dressing",Applebee's
1030,54,salads,67,"Apple Walnut Chicken Salad, Regular",Applebee's
470,18,salads,22,"Apple Walnut Chicken Salad, Regular w/o dressing",Applebee's
180,12,salads,15,Applebee’s House Salad,Applebee's
180,12,salads,15,Applebee’s House Salad (without dressing),Applebee's
130,59,drinks,0,Applebee’s Limeades,Applebee's
1140,49,sandwiches,81,Applebee’s Reuben,Applebee's
630,25,sandwiches,47,Applebee’s Reuben,Applebee's
1115,92,ribs,55,Applebee’s Riblets Basket,Applebee's
1705,134,ribs,86,Applebee’s Riblets Platter,Applebee's
380,25,entrees,14,Asiago Peppercorn Steak,Applebee's
380,25,entrees,14,Asiago Peppercorn Steak w/sides,Applebee's
970,51,burgers,60,Bacon Cheddar Cheeseburger,Applebee's
750,50,sandwiches,33,Bacon Cheese Chicken Grill,Applebee's
430,42,sides,28,Baked Potato,Applebee's
420,27,soups,32,Baked Potato Soup,Applebee's
360,20,soups,28,Baked Potato Soup,Applebee's
1030,90,burgers,48,BBQ Pulled Pork Sliders,Applebee's
190,21,soups,9,Black Bean Soup,Applebee's
740,54,sandwiches,42,Blackened Tilapia Sandwich,Applebee's
1310,176,desserts,63,Blue Ribbon Brownie,Applebee's
1160,66,appetizers,69,"Boneless Wings, Classic Buffalo",Applebee's
1250,16,appetizers,55,"Boneless Wings, Honey BBQ",Applebee's
1170,67,appetizers,69,"Boneless Wings, Hot Buffalo",Applebee's
1110,83,appetizers,55,"Boneless Wings, Southern BBQ",Applebee's
1150,90,appetizers,55,"Boneless Wings, Sweet & spicy sauce",Applebee's
750,31,entrees,45,Bourbon Street Chicken & Shrimp,Applebee's
760,35,entrees,44,Bourbon Street Steak,Applebee's
290,22,sides,19,Breadstick,Applebee's
340,19,soups,26,Broccoli Cheddar Soup,Applebee's
280,12,soups,23,Broccoli Cheddar Soup,Applebee's
360,49,desserts,17,Brownie Bite,Applebee's
850,56,chicken,42,Bruschetta Chicken,Applebee's
740,45,salads,44,"Bruschetta Chicken Salad, Half",Applebee's
580,40,salads,30,"Bruschetta Chicken Salad, Half w/o dressing",Applebee's
1110,67,salads,66,"Bruschetta Chicken Salad, Regular",Applebee's
790,56,salads,36,"Bruschetta Chicken Salad, Regular w/o dressing",Applebee's
220,8,salads,19,Caesar Salad,Applebee's
1170,95,entrees,69,Cajun Shrimp Pasta,Applebee's
500,16,salads,42,"California Shrimp Salad, Half",Applebee's
330,14,salads,23,"California Shrimp Salad, Half w/o dressing",Applebee's
740,21,salads,61,"California Shrimp Salad, Regular",Applebee's
380,16,salads,24,"California Shrimp Salad, Regular w/o dressing",Applebee's
970,60,sandwiches,55,California Turkey Club,Applebee's
1130,85,appetizers,87,Cheese Quesadilla Grande,Applebee's
940,52,burgers,58,Cheeseburger,Applebee's
1270,82,burgers,82,Cheeseburger Sliders,Applebee's
1330,83,burgers,87,Cheeseburger Sliders add bacon,Applebee's
1330,83,burgers,87,Cheeseburger Sliders with Applewood Smoked Bacon,Applebee's
350,28,sides,20,Cheesy Corn,Applebee's
1350,111,entrees,72,Chicken Broccoli Pasta Alfredo,Applebee's
310,8,salads,20,Chicken Caesar Salad,Applebee's
850,63,sandwiches,62,Chicken Fajita Rollup,Applebee's
560,45,sandwiches,41,Chicken Fajita Rollup,Applebee's
1440,107,entrees,82,Chicken Fettuccine Carbonara,Applebee's
1230,112,chicken,59,Chicken Fried Chicken,Applebee's
1260,118,entrees,61,"Chicken Fried Steak (includes mashed potato, gravy & vegetable)",Applebee's
160,17,soups,4,Chicken Noodle Soup,Applebee's
110,11,soups,3,Chicken Noodle Soup,Applebee's
1690,130,chicken,95,Chicken Parmesan Stack,Applebee's
1290,90,appetizers,90,Chicken Quesadilla Grande,Applebee's
102,85,chicken,60,Chicken Tenders Basket,Applebee's
1320,107,chicken,78,Chicken Tenders Platter,Applebee's
180,18,soups,8,Chicken Tortilla Soup,Applebee's
140,12,soups,7,Chicken Tortilla Soup,Applebee's
310,10,soups,26,Chili,Applebee's
370,16,soups,28,Chili,Applebee's
550,59,french-fries,33,"Chili Cheese Fries, Side",Applebee's
1680,134,appetizers,107,Chili Cheese Nachos,Applebee's
960,106,appetizers,53,Chips and Spicy Chipotle Lime Salsa,Applebee's
154,210,desserts,74,Chocolate Chip Cookie Sundae,Applebee's
450,42,desserts,31,Chocolate Mousse Shooter,Applebee's
350,22,soups,24,Clam Chowder,Applebee's
290,16,soups,20,Clam Chowder,Applebee's
1150,77,sandwiches,67,Classic Club House Grill,Applebee's
710,8,appetizers,49,"Classic Wings, Classic Buffalo",Applebee's
790,59,appetizers,35,"Classic Wings, Honey BBQ",Applebee's
720,9,appetizers,49,"Classic Wings, Hot Buffalo",Applebee's
660,25,appetizers,35,"Classic Wings, Southern BBQ",Applebee's
690,32,appetizers,35,"Classic Wings, Sweet & spicy sauce",Applebee's
140,15,sides,9,Cole Slaw,Applebee's
1180,77,burgers,70,Cowboy Burger,Applebee's
1520,208,chicken,53,Crispy Orange Chicken,Applebee's
1290,181,appetizers,56,Crunchy Onion Rings,Applebee's
530,63,sides,28,"Crunchy Onion Rings, Side",Applebee's
915,109,shakes,46,Decadent Shakes,Applebee's
1280,133,seafood,69,Double Crunch Shrimp,Applebee's
1345,95,ribs,72,Double-Glazed Baby Back Ribs,Applebee's
935,88,ribs,49,Double-Glazed Baby Back Ribs – Half Rack,Applebee's
1160,94,chicken,67,Fiesta Lime Chicken®,Applebee's
1100,53,burgers,73,Fire Pit Bacon Burger,Applebee's
1300,77,entrees,82,Florentine Ravioli with Chicken,Applebee's
840,75,burgers,49,French Dip Sliders,Applebee's
590,50,burgers,36,French Dip Sliders,Applebee's
260,16,soups,14,French Onion Soup,Applebee's
90,24,sides,0,"Fresh Fruit, Side",Applebee's
380,20,salads,27,Fried Chicken Salad,Applebee's
530,26,salads,42,"Fried Chicken Salad, Half",Applebee's
310,12,salads,23,"Fried Chicken Salad, Half w/o dressing",Applebee's
980,50,salads,79,"Fried Chicken Salad, Regular",Applebee's
540,23,salads,42,"Fried Chicken Salad, Regular w/o dressing",Applebee's
150,22,sides,5,Fried Red Potatoes,Applebee's
390,53,french-fries,18,"Fries, Side",Applebee's
390,53,kids-meals,18,"Fries, Side",Applebee's
255,64,drinks,0,Frozen Lemonades,Applebee's
690,61,seafood,29,Garlic Herb Salmon,Applebee's
330,38,sides,18,Garlic Mashed Potatoes,Applebee's
410,12,salads,29,"Grilled Chicken Caesar, Half",Applebee's
180,10,salads,5,"Grilled Chicken Caesar, Half w/o dressing",Applebee's
820,25,salads,57,"Grilled Chicken Caesar, Regular",Applebee's
370,21,salads,10,"Grilled Chicken Caesar, Regular w/o dressing",Applebee's
590,58,appetizers,24,Grilled Chicken Wonton Tacos,Applebee's
470,30,entrees,16,Grilled Dijon Chicken & Portobellos,Applebee's
470,30,chicken,16,Grilled Dijon Chicken & Portobellos,Applebee's
370,56,seafood,4.5,Grilled Shrimp & Island Rice,Applebee's
260,20,salads,15,Grilled Shrimp ‘N Spinach Salad,Applebee's
620,33,salads,44,"Grilled Shrimp ‘N Spinach Salad, Half",Applebee's
460,12,salads,35,"Grilled Shrimp ‘N Spinach Salad, Half w/o dressing",Applebee's
1010,63,salads,69,"Grilled Shrimp ‘N Spinach Salad, Regular",Applebee's
680,20,salads,51,"Grilled Shrimp ‘N Spinach Salad, Regular w/o dressing",Applebee's
460,13,salads,34,"Grilled Steak Caesar, Half",Applebee's
230,11,salads,10,"Grilled Steak Caesar, Half w/o dressing",Applebee's
910,25,salads,68,"Grilled Steak Caesar, Regular",Applebee's
460,21,salads,21,"Grilled Steak Caesar, Regular w/o dressing",Applebee's
790,50,burgers,46,Hamburger,Applebee's
1570,108,seafood,106,Hand-Battered Fish & Chips,Applebee's
860,63,sandwiches,58,Hand-Battered Fish Sandwich,Applebee's
1000,87,sandwiches,42,Honey BBQ Chicken Sandwich,Applebee's
350,43,desserts,18,Hot Fudge Sundae Shooter,Applebee's
120,9,salads,8,House Salad,Applebee's
310,0,entrees,13,House Sirloin,Applebee's
250,0,entrees,12,House Sirloin,Applebee's
140,0,kids-meals,7,Kids 4oz Sirloin Steak,Applebee's
70,17,kids-meals,0,Kids Apple Juice (6.75 oz),Applebee's
50,27,kids-meals,0,Kids Applesauce side,Applebee's
220,5,kids-meals,22,Kids Celery side with Dressing,Applebee's
550,44,kids-meals,31,Kids Cheese Pizza,Applebee's
240,11,kids-meals,14,Kids Chicken Tenders,Applebee's
215,36,kids-meals,4,Kids Chocolate Milk (1% 8oz),Applebee's
260,28,kids-meals,14,Kids Corn Dog,Applebee's
230,16,kids-meals,14,Kids Fried Shrimp,Applebee's
80,20,kids-meals,0,Kids Grape Juice (6.75 oz),Applebee's
610,51,kids-meals,36,Kids Grilled Cheese (Hawaiian bread),Applebee's
630,54,kids-meals,36,Kids Grilled Cheese (sourdough bread),Applebee's
230,23,kids-meals,5,Kids Grilled Chicken Sandwich,Applebee's
330,31,kids-meals,18,Kids Hot Dog,Applebee's
350,45,kids-meals,18,Kids Hot Fudge Sundae,Applebee's
300,45,kids-meals,9,Kids Kraft Macaroni and Cheese,Applebee's
130,14,kids-meals,4,Kids Milk (1% or 2% 8 oz),Applebee's
430,24,kids-meals,30,Kids Mini Cheeseburger – 1,Applebee's
740,47,kids-meals,46,Kids Mini Cheeseburgers – 2,Applebee's
390,23,kids-meals,27,Kids Mini Hamburger – 1,Applebee's
660,46,kids-meals,40,Kids Mini Hamburger – 2,Applebee's
70,17,kids-meals,0,Kids Orange-Tangerine Juice (6.75 oz),Applebee's
780,97,kids-meals,41,Kids OREO® Cookie Milkshake,Applebee's
360,43,kids-meals,19,Kids OREO® Cookie Sundae,Applebee's
360,60,kids-meals,7,Kids Pasta with Marinara Sauce,Applebee's
30,4,kids-meals,0,Kids Steamed Broccoli Side,Applebee's
260,31,kids-meals,14,Kids Strawberry Sundae,Applebee's
70,19,kids-meals,0,Kids Tropicana Fruit Punch (12 oz),Applebee's
230,24,kids-meals,14,Kids Vanilla Sundae,Applebee's
330,49,kids-meals,14,Kids Vanilla Sundae with Hershey’s Syrup,Applebee's
500,42,sides,35,Loaded Baked Potato,Applebee's
550,41,sides,42,Loaded Mashed Potatoes,Applebee's
1100,115,desserts,63,Maple Butter Blondie,Applebee's
800,67,chicken,30,Margherita Chicken,Applebee's
940,84,appetizers,48,Mozzarella Sticks,Applebee's
1930,121,seafood,138,New England Fish & Chips,Applebee's
480,1,entrees,24,New York Strip,Applebee's
730,98,seafood,17,Orange Glazed Salmon,Applebee's
1160,121,sandwiches,60,Oriental Chicken Rollup,Applebee's
420,25,salads,29,Oriental Chicken Salad,Applebee's
670,42,salads,49,"Oriental Chicken Salad, Half",Applebee's
340,25,salads,20,"Oriental Chicken Salad, Half w/o dressing",Applebee's
1340,85,salads,98,"Oriental Chicken Salad, Regular",Applebee's
680,50,salads,41,"Oriental Chicken Salad, Regular w/o dressing",Applebee's
430,36,salads,21,Oriental Grilled Chicken Salad,Applebee's
680,55,salads,40,"Oriental Grilled Chicken Salad, Half",Applebee's
340,38,salads,9,"Oriental Grilled Chicken Salad, Half w/o dressing",Applebee's
1290,92,salads,79,"Oriental Grilled Chicken Salad, Regular",Applebee's
590,58,salads,19,"Oriental Grilled Chicken Salad, Regular w/o dressing",Applebee's
820,72,salads,48,"Pecan-Crusted Chicken Salad, Half",Applebee's
580,53,salads,31,"Pecan-Crusted Chicken Salad, Half w/o dressing",Applebee's
1350,114,salads,80,"Pecan-Crusted Chicken Salad, Regular",Applebee's
880,76,salads,46,"Pecan-Crusted Chicken Salad, Regular w/o dressing",Applebee's
1130,70,burgers,67,Philly Burger,Applebee's
820,68,appetizers,41,Pork Wonton Tacos,Applebee's
1090,66,appetizers,103,Potato Skins,Applebee's
970,81,appetizers,60,Potato Twisters,Applebee's
1520,116,entrees,90,Provolone-Stuffed Meatballs with Fettuccine,Applebee's
1240,44,burgers,103,Quesadilla Burger,Applebee's
1330,114,appetizers,82,Queso Blanco,Applebee's
1440,118,appetizers,89,Queso Blanco with chili,Applebee's
290,48,sides,6,Red Beans & Rice,Applebee's
670,3,entrees,47,Ribeye,Applebee's
1295,103,chicken,73,Riblet and Chicken Tenders Basket,Applebee's
160,28,kids-meals,2,1% Lowfat Chocolate Milk*,Arby's
120,12,kids-meals,4.5,2% Reduced Fat White Milk*,Arby's
640,47,sandwiches,35,Angus Cool Deli Sandwich,Arby's
620,41,wraps,36,Angus Cool Deli Wrap,Arby's
660,46,sandwiches,33,Angus Three Cheese & Bacon Sandwich,Arby's
440,68,desserts,17,Apple Turnover,Arby's
80,21,kids-meals,0,Applesauce,Arby's
390,39,sandwiches,16,Arby’s Melt,Arby's
15,3,sandwiches,0,Arby’s Sauce® Adds,Arby's
520,43,sandwiches,26,Bacon Beef ‘n Cheddar,Arby's
450,34,breakfast,26,"Bacon, Egg & Cheese Biscuit",Arby's
450,43,sandwiches,21,Beef’n Cheddar Classic,Arby's
680,46,sandwiches,37,Beef’n Cheddar Max,Arby's
550,43,sandwiches,28,Beef’n Cheddar Mild,Arby's
10,1,sides,1,Buffalo Dipping Sauce Adds,Arby's
80,21,kids-meals,0,CapriSun® Fruit Juice,Arby's
440,67,desserts,17,Cherry Turnover,Arby's
600,53,sandwiches,28,Chicken Bacon & Swiss – Crispy,Arby's
470,43,sandwiches,19,Chicken Bacon & Swiss – Roast,Arby's
350,39,breakfast,15,Chicken Biscuit*,Arby's
620,51,chicken,30,Chicken Cordon Bleu – Crispy,Arby's
490,40,chicken,21,Chicken Cordon Bleu – Roast,Arby's
420,54,desserts,21,Chocolate Chunk Cookies (2),Arby's
570,98,shakes,15,Chocolate Shake – Regular,Arby's
450,75,shakes,12,Chocolate Shake – Small,Arby's
510,67,desserts,25,Chocolate Turnover,Arby's
430,30,salads,24,Chopped Farmhouse Chicken Salad – Crispy,Arby's
250,11,salads,13,Chopped Farmhouse Chicken Salad – Roast,Arby's
70,4,salads,5,Chopped Side Salad,Arby's
590,47,sandwiches,37,Classic Italian Toasted Sub,Arby's
500,53,sandwiches,21,Cravin’ Chicken Sandwich – Crispy,Arby's
370,42,sandwiches,12,Cravin’ Chicken Sandwich – Roast,Arby's
270,33,kids-meals,14,Curly Fries – Kids,Arby's
710,87,french-fries,37,Curly Fries – Large,Arby's
600,74,french-fries,31,Curly Fries – Medium,Arby's
450,55,french-fries,24,Curly Fries – Small,Arby's
270,33,french-fries,14,Curly Fries – Value,Arby's
430,42,sandwiches,19,Deluxe Bacon Cheddar,Arby's
450,51,sandwiches,17,French Dip & Swiss/Au Jus,Arby's
300,37,sandwiches,8,Ham & Swiss Melt,Arby's
270,22,breakfast,14,"Ham, Egg & Cheese Croissant",Arby's
480,46,breakfast,20,"Ham, Egg & Cheese Sourdough",Arby's
240,35,kids-meals,10,Homestyle Fries – Kids,Arby's
610,86,french-fries,26,Homestyle Fries – Large,Arby's
480,69,french-fries,21,Homestyle Fries – Medium,Arby's
360,52,french-fries,16,Homestyle Fries – Small,Arby's
140,5,sides,13,Honey Dijon Mustard Sauce Adds,Arby's
50,3,sandwiches,5,Horsey Sauce® Adds,Arby's
300,31,sides,17,Jalapeno Bites® – (5),Arby's
470,49,sides,27,Jalapeno Bites® – (8),Arby's
460,85,shakes,15,Jamocha Oreo® Shake – Small,Arby's
630,115,shakes,20,Jamocha Oreo® Swirl Shake – Regular,Arby's
570,97,shakes,15,Jamocha Shake – Regular,Arby's
440,75,shakes,12,Jamocha Shake – Small,Arby's
340,33,sandwiches,17,Jr Chicken Sandwich,Arby's
350,60,shakes,9,Jr Chocolate Shake,Arby's
270,25,sandwiches,14,Jr Deluxe Sandwich,Arby's
210,26,sandwiches,6,Jr Ham & Cheddar Sandwich,Arby's
350,60,shakes,9,Jr Jamocha Shake,Arby's
210,24,kids-meals,8,Jr Roast Beef,Arby's
210,24,sandwiches,8,Jr Roast Beef Sandwich,Arby's
290,45,shakes,9,Jr Vanilla Shake,Arby's
350,32,sides,21,Loaded Potato Bites® – (5),Arby's
570,51,sides,34,Loaded Potato Bites® – (8),Arby's
440,39,sides,23,Mozzarella Sticks – (4),Arby's
660,59,sides,34,Mozzarella Sticks – (6),Arby's
300,36,breakfast,15,Outside-In Cinnamon Bites™,Arby's
260,28,kids-meals,15,Potato Cakes (2),Arby's
260,28,sides,15,Potato Cakes (2),Arby's
390,42,sides,23,Potato Cakes (3),Arby's
510,57,sides,30,Potato Cakes (4),Arby's
360,31,chicken,17,Prime-Cut™ Chicken Tenders (3),Arby's
610,52,chicken,28,Prime-Cut™ Chicken Tenders (5),Arby's
240,21,kids-meals,11,Prime-Cut™ Chicken Tenders – (2),Arby's
160,2,sides,16,Ranch Dipping Sauce Adds,Arby's
700,64,sandwiches,32,Reuben Sandwich,Arby's
360,37,sandwiches,14,Roast Beef Classic,Arby's
610,46,sandwiches,29,Roast Beef Max,Arby's
470,38,sandwiches,22,Roast Beef Mild,Arby's
460,41,sandwiches,18,Roast Chicken Club,Arby's
710,78,sandwiches,28,Roast Turkey & Swiss Sandwich,Arby's
500,42,wraps,24,Roast Turkey & Swiss Wrap,Arby's
810,78,sandwiches,36,"Roast Turkey, Ranch & Bacon Sandwich",Arby's
600,42,wraps,32,"Roast Turkey, Ranch & Bacon Wrap",Arby's
460,33,breakfast,31,Sausage Biscuit,Arby's
460,45,breakfast,26,Sausage Gravy Biscuit,Arby's
740,45,breakfast,47,"Sausage, Egg & Cheese Wrap",Arby's
520,46,sandwiches,28,Shroom & Swiss,Arby's
590,60,sandwiches,23,Smokin’ Chipotle Chicken*,Arby's
460,56,sides,24,Steakhouse Onion Rings (5),Arby's
440,44,sandwiches,20,Super Roast Beef,Arby's
45,11,sides,0,Tangy Barbeque Sauce Adds,Arby's
480,47,sandwiches,21,Turkey Bacon Club Toasted Sub,Arby's
480,74,shakes,15,Vanilla Shake – Regular,Arby's
380,60,shakes,12,Vanilla Shake – Small,Arby's
750,57,sandwiches,38,Abc Special,Atlanta Bread Company
620,67,breakfast,35,Almond Croissant,Atlanta Bread Company
420,65,breakfast,15,Apple Croissant,Atlanta Bread Company
460,67,breakfast,18,Apple Danish,Atlanta Bread Company
330,68,breakfast,2.5,Apple Spice Bagel,Atlanta Bread Company
390,53,breakfast,11,Asiago Bagel,Atlanta Bread Company
920,76,entrees,50,Asiago Cream Pasta,Atlanta Bread Company
290,39,breads,9,Asiago Focaccia,Atlanta Bread Company
80,14,breads,1,Asiago Loaf,Atlanta Bread Company
330,60,breads,4.5,Asiago Strip,Atlanta Bread Company
490,52,breakfast,21,"Bacon, Egg & Cheese Sandwich",Atlanta Bread Company
330,23,soups,19,Baja Chicken Enchilada,Atlanta Bread Company
230,23,soups,13,Baked Potato,Atlanta Bread Company
330,35,salads,18,Balsamic Bleu Salad,Atlanta Bread Company
610,63,breakfast,36,Banana Nut Muffin,Atlanta Bread Company
420,39,breakfast,26,Banana Nut Muffin Top,Atlanta Bread Company
500,6,entrees,10,Basil Pesto Pasta,Atlanta Bread Company
320,52,pizzas,5,Bbq Chicken Pizza,Atlanta Bread Company
540,71,breakfast,24,Bear Claw,Atlanta Bread Company
530,83,breakfast,18,Belgian Waffle With Maple Syrup & Whipped Cream,Atlanta Bread Company
610,34,sandwiches,38,Bella Chicken Sandwich,Atlanta Bread Company
780,59,sandwiches,41,Bistro Chicken Press,Atlanta Bread Company
320,41,breakfast,15,Blueberry Muffin,Atlanta Bread Company
250,31,breakfast,12,Blueberry Muffin Top,Atlanta Bread Company
250,14,soups,17,Broccoli & Cheese,Atlanta Bread Company
150,7,salads,9,Caesar Salad,Atlanta Bread Company
930,98,sandwiches,50,California Avocado,Atlanta Bread Company
660,57,desserts,43,Caramel Nut Cheesecake,Atlanta Bread Company
